epoch	10.0.0.220:ph/prog	10.0.0.221:ph/prog	10.0.0.222:ph/prog	10.0.0.223:ph/prog
1788095187.516	0/1	0/1	0/1	0/1
1788095187.557	0/1	0/1	0/1	0/1
1788095187.599	0/1	0/1	0/1	0/1
1788095187.640	0/1	0/1	0/1	0/1
1788095187.685	0/1	0/1	0/1	0/1
1788095187.727	0/1	0/1	0/1	0/1
1788095187.768	0/1	0/1	0/1	0/1
1788095187.810	0/1	0/1	0/1	0/1
1788095187.854	0/1	0/1	0/1	0/1
1788095187.897	0/1	0/1	0/1	0/1
1788095187.942	0/1	0/1	0/1	0/1
1788095187.991	0/1	0/1	0/1	0/1
1788095188.035	0/1	0/1	0/1	0/1
1788095188.079	0/1	0/1	0/1	0/1
1788095188.128	0/1	0/1	0/1	0/1
1788095188.168	0/1	0/1	0/1	0/1
1788095188.208	0/1	0/1	0/1	0/1
1788095188.258	0/1	0/1	0/1	0/1
1788095188.301	0/1	0/1	0/1	0/1
1788095188.362	0/1	0/1	0/1	0/1
1788095188.405	0/1	0/1	0/1	0/1
1788095188.447	0/1	0/1	0/1	0/1
1788095188.489	0/1	0/1	0/1	0/1
1788095188.530	0/1	0/1	0/1	0/1
1788095188.572	0/1	0/1	0/1	0/1
1788095188.616	0/1	0/1	0/1	0/1
1788095188.655	0/1	0/1	0/1	0/1
1788095188.699	0/1	0/1	0/1	0/1
1788095188.741	0/1	0/1	0/1	0/1
1788095188.782	0/1	0/1	0/1	0/1
1788095188.826	0/1	0/1	0/1	0/1
1788095188.866	0/1	0/1	0/1	0/1
1788095188.908	0/1	0/1	0/1	0/1
1788095188.951	0/1	0/1	0/1	0/1
1788095188.993	0/1	0/1	0/1	0/1
1788095189.035	0/1	0/1	0/1	0/1
1788095189.075	0/1	0/1	0/1	0/1
1788095189.119	0/1	0/1	0/1	0/1
1788095189.162	0/1	0/1	0/1	0/1
1788095189.204	0/1	0/1	0/1	0/1
1788095189.246	0/1	0/1	0/1	0/1
1788095189.294	0/1	0/1	0/1	0/1
1788095189.371	0/1	0/1	0/1	0/1
1788095189.414	0/1	0/1	0/1	0/1
1788095189.452	0/1	0/1	0/1	0/1
1788095189.498	0/1	0/1	0/1	0/1
1788095189.540	0/1	0/1	0/1	0/1
1788095189.586	0/1	0/1	0/1	0/1
1788095189.629	0/1	0/1	0/1	0/1
1788095189.670	0/1	0/1	0/1	0/1
1788095189.719	0/1	0/1	0/1	0/1
1788095189.761	0/1	0/1	0/1	0/1
1788095189.802	0/1	0/1	0/1	0/1
1788095189.844	0/1	0/1	0/1	0/1
1788095189.886	0/1	0/1	0/1	0/1
1788095189.928	0/1	0/1	0/1	0/1
1788095189.971	0/1	0/1	0/1	0/1
1788095190.022	0/1	0/1	0/1	0/1
1788095190.068	0/1	0/1	0/1	0/1
1788095190.123	0/1	0/1	0/1	0/1
1788095190.168	0/1	0/1	0/1	0/1
1788095190.210	0/1	0/1	0/1	0/1
1788095190.251	0/1	0/1	0/1	0/1
1788095190.294	0/1	0/1	0/1	0/1
1788095190.355	0/1	0/1	0/1	0/1
1788095190.396	0/1	0/1	0/1	0/1
1788095190.436	0/1	0/1	0/1	0/1
1788095190.486	0/1	0/1	0/1	0/1
1788095190.529	0/1	0/1	0/1	0/1
1788095190.570	0/1	0/1	0/1	0/1
1788095190.620	0/1	0/1	0/1	0/1
1788095190.660	0/1	0/1	0/1	0/1
1788095190.701	0/1	0/1	0/1	0/1
1788095190.742	0/1	0/1	0/1	0/1
1788095190.790	0/1	0/1	0/1	0/1
1788095190.840	0/1	0/1	0/1	0/1
1788095190.884	0/1	0/1	0/1	0/1
1788095190.925	0/1	0/1	0/1	0/1
1788095190.966	0/1	0/1	0/1	0/1
1788095191.010	0/1	0/1	0/1	0/1
1788095191.058	0/1	0/1	0/1	0/1
1788095191.106	0/1	0/1	0/1	0/1
1788095191.152	0/1	0/1	0/1	0/1
1788095191.198	0/1	0/1	0/1	0/1
1788095191.241	0/1	0/1	0/1	0/1
1788095191.291	0/1	0/1	0/1	0/1
1788095191.350	0/1	0/1	0/1	0/1
1788095191.391	0/1	0/1	0/1	0/1
1788095191.431	0/1	0/1	0/1	0/1
1788095191.474	0/1	0/1	0/1	0/1
1788095191.513	0/1	0/1	0/1	0/1
1788095191.552	0/1	0/1	0/1	0/1
1788095191.591	0/1	0/1	0/1	0/1
1788095191.631	0/1	0/1	0/1	0/1
1788095191.671	0/1	0/1	0/1	0/1
1788095191.707	0/1	0/1	0/1	0/1
1788095191.740	0/1	0/1	0/1	0/1
1788095191.770	0/1	0/1	0/1	0/1
1788095191.797	0/1	0/1	0/1	0/1
1788095191.821	0/1	0/1	0/1	0/1
1788095191.843	0/1	0/1	0/1	0/1
1788095191.863	0/1	0/1	0/1	0/1
1788095191.882	0/1	0/1	0/1	0/1
1788095191.900	0/1	0/1	0/1	0/1
1788095191.917	0/1	0/1	0/1	0/1
1788095191.933	0/1	0/1	0/1	0/1
1788095191.950	0/1	0/1	0/1	0/1
1788095191.965	0/1	0/1	0/1	0/1
1788095191.981	0/1	0/1	0/1	0/1
1788095191.997	0/1	0/1	0/1	0/1
1788095192.013	0/1	0/1	0/1	0/1
1788095192.029	0/1	0/1	0/1	0/1
1788095192.044	0/1	0/1	0/1	0/1
1788095192.061	0/1	0/1	0/1	0/1
1788095192.077	0/1	0/1	0/1	0/1
1788095192.094	0/1	0/1	0/1	0/1
1788095192.110	0/1	0/1	0/1	0/1
1788095192.127	0/1	0/1	0/1	0/1
1788095192.143	0/1	0/1	0/1	0/1
1788095192.164	0/1	0/1	0/1	0/1
1788095192.186	0/1	0/1	0/1	0/1
1788095192.210	0/1	0/1	0/1	0/1
1788095192.235	0/1	0/1	0/1	0/1
1788095192.262	0/1	0/1	0/1	0/1
1788095192.316	0/1	0/1	0/1	0/1
1788095192.347	0/1	0/1	0/1	0/1
1788095192.375	0/1	0/1	0/1	0/1
1788095192.400	0/1	0/1	0/1	0/1
1788095192.424	0/1	0/1	0/1	0/1
1788095192.446	0/1	0/1	0/1	0/1
1788095192.467	0/1	0/1	0/1	0/1
1788095192.496	0/1	0/1	0/1	0/1
1788095192.524	0/1	0/1	0/1	0/1
1788095192.554	0/1	0/1	0/1	0/1
1788095192.587	0/1	0/1	0/1	0/1
1788095192.625	0/1	0/1	0/1	0/1
1788095192.669	0/1	0/1	0/1	0/1
1788095192.709	0/1	0/1	0/1	0/1
1788095192.752	0/1	0/1	0/1	0/1
1788095192.793	0/1	0/1	0/1	0/1
1788095192.837	0/1	0/1	0/1	0/1
1788095192.877	0/1	0/1	0/1	0/1
1788095192.919	0/1	0/1	0/1	0/1
1788095192.961	0/1	0/1	0/1	0/1
1788095193.003	0/1	0/1	0/1	0/1
1788095193.045	0/1	0/1	0/1	0/1
1788095193.087	0/1	0/1	0/1	0/1
1788095193.130	0/1	0/1	0/1	0/1
1788095193.174	0/1	0/1	0/1	0/1
1788095193.216	0/1	0/1	0/1	0/1
1788095193.256	0/1	0/1	0/1	0/1
1788095193.306	0/1	0/1	0/1	0/1
1788095193.362	0/1	0/1	0/1	0/1
1788095193.403	0/1	0/1	0/1	0/1
1788095193.445	0/1	0/1	0/1	0/1
1788095193.487	0/1	0/1	0/1	0/1
1788095193.528	0/1	0/1	0/1	0/1
1788095193.569	0/1	0/1	0/1	0/1
1788095193.612	0/1	0/1	0/1	0/1
1788095193.654	0/1	0/1	0/1	0/1
1788095193.698	0/1	0/1	0/1	0/1
1788095193.741	0/1	0/1	0/1	0/1
1788095193.782	0/1	0/1	0/1	0/1
1788095193.825	0/1	0/1	0/1	0/1
1788095193.868	0/1	0/1	0/1	0/1
1788095193.910	0/1	0/1	0/1	0/1
1788095193.954	0/1	0/1	0/1	0/1
1788095193.998	0/1	0/1	0/1	0/1
1788095194.040	0/1	0/1	0/1	0/1
1788095194.082	0/1	0/1	0/1	0/1
1788095194.126	0/1	0/1	0/1	0/1
1788095194.171	0/1	0/1	0/1	0/1
1788095194.217	0/1	0/1	0/1	0/1
1788095194.260	0/1	0/1	0/1	0/1
1788095194.305	0/1	0/1	0/1	0/1
1788095194.378	0/1	0/1	0/1	0/1
1788095194.421	0/1	0/1	0/1	0/1
1788095194.466	0/1	0/1	0/1	0/1
1788095194.512	0/1	0/1	0/1	0/1
1788095194.555	0/1	0/1	0/1	0/1
1788095194.611	0/1	0/1	0/1	0/1
1788095194.661	0/1	0/1	0/1	0/1
1788095194.705	0/1	0/1	0/1	0/1
1788095194.757	0/1	0/1	0/1	0/1
1788095194.799	0/1	0/1	0/1	0/1
1788095194.840	0/1	0/1	0/1	0/1
1788095194.885	0/1	0/1	0/1	0/1
1788095194.927	0/1	0/1	0/1	0/1
1788095194.969	0/1	0/1	0/1	0/1
1788095195.013	0/1	0/1	0/1	0/1
1788095195.056	0/1	0/1	0/1	0/1
1788095195.098	0/1	0/1	0/1	0/1
1788095195.142	0/1	0/1	0/1	0/1
1788095195.185	0/1	0/1	0/1	0/1
1788095195.228	0/1	0/1	0/1	0/1
1788095195.270	0/1	0/1	0/1	0/1
1788095195.348	0/1	0/1	0/1	0/1
1788095195.390	0/1	0/1	0/1	0/1
1788095195.431	0/1	0/1	0/1	0/1
1788095195.469	0/1	0/1	0/1	0/1
1788095195.508	0/1	0/1	0/1	0/1
1788095195.546	0/1	0/1	0/1	0/1
1788095195.586	0/1	0/1	0/1	0/1
1788095195.624	0/1	0/1	0/1	0/1
1788095195.663	0/1	0/1	0/1	0/1
1788095195.705	0/1	0/1	0/1	0/1
1788095195.752	0/1	0/1	0/1	0/1
1788095195.793	0/1	0/1	0/1	0/1
1788095195.835	0/1	0/1	0/1	0/1
1788095195.876	0/1	0/1	0/1	0/1
1788095195.917	0/1	0/1	0/1	0/1
1788095195.963	0/1	0/1	0/1	0/1
1788095196.007	0/1	0/1	0/1	0/1
1788095196.054	0/1	0/1	0/1	0/1
1788095196.097	0/1	0/1	0/1	0/1
1788095196.145	0/1	0/1	0/1	0/1
1788095196.191	0/1	0/1	0/1	0/1
1788095196.235	0/1	0/1	0/1	0/1
1788095196.286	0/1	0/1	0/1	0/1
1788095196.348	0/1	0/1	0/1	0/1
1788095196.388	0/1	0/1	0/1	0/1
1788095196.432	0/1	0/1	0/1	0/1
1788095196.475	0/1	0/1	0/1	0/1
1788095196.516	0/1	0/1	0/1	0/1
1788095196.558	0/1	0/1	0/1	0/1
1788095196.601	0/1	0/1	0/1	0/1
1788095196.654	0/1	0/1	0/1	0/1
1788095196.698	0/1	0/1	0/1	0/1
1788095196.745	0/1	0/1	0/1	0/1
1788095196.791	0/1	0/1	0/1	0/1
1788095196.832	0/1	0/1	0/1	0/1
1788095196.875	0/1	0/1	0/1	0/1
1788095196.916	0/1	0/1	0/1	0/1
1788095196.959	0/1	0/1	0/1	0/1
1788095197.003	0/1	0/1	0/1	0/1
1788095197.045	0/1	0/1	0/1	0/1
1788095197.087	0/1	0/1	0/1	0/1
1788095197.138	0/1	0/1	0/1	0/1
1788095197.182	0/1	0/1	0/1	0/1
1788095197.223	0/1	0/1	0/1	0/1
1788095197.266	0/1	0/1	0/1	0/1
1788095197.341	0/1	0/1	0/1	0/1
1788095197.387	0/1	0/1	0/1	0/1
1788095197.429	0/1	0/1	0/1	0/1
1788095197.470	0/1	0/1	0/1	0/1
1788095197.515	0/1	0/1	0/1	0/1
1788095197.556	0/1	0/1	0/1	0/1
1788095197.597	0/1	0/1	0/1	0/1
1788095197.639	0/1	0/1	0/1	0/1
1788095197.679	0/1	0/1	0/1	0/1
1788095197.721	0/1	0/1	0/1	0/1
1788095197.769	0/1	0/1	0/1	0/1
1788095197.814	0/1	0/1	0/1	0/1
1788095197.857	0/1	0/1	0/1	0/1
1788095197.898	0/1	0/1	0/1	0/1
1788095197.940	0/1	0/1	0/1	0/1
1788095197.983	0/1	0/1	0/1	0/1
1788095198.029	0/1	0/1	0/1	0/1
1788095198.076	0/1	0/1	0/1	0/1
1788095198.117	0/1	0/1	0/1	0/1
1788095198.163	0/1	0/1	0/1	0/1
1788095198.203	0/1	0/1	0/1	0/1
1788095198.245	0/1	0/1	0/1	0/1
1788095198.294	0/1	0/1	0/1	0/1
1788095198.357	0/1	0/1	0/1	0/1
1788095198.399	0/1	0/1	0/1	0/1
1788095198.441	0/1	0/1	0/1	0/1
1788095198.485	0/1	0/1	0/1	0/1
1788095198.531	0/1	0/1	0/1	0/1
1788095198.570	0/1	0/1	0/1	0/1
1788095198.608	0/1	0/1	0/1	0/1
1788095198.647	0/1	0/1	0/1	0/1
1788095198.691	0/1	0/1	0/1	0/1
1788095198.731	0/1	0/1	0/1	0/1
1788095198.768	0/1	0/1	0/1	0/1
1788095198.800	0/1	0/1	0/1	0/1
1788095198.830	0/1	0/1	0/1	0/1
1788095198.857	0/1	0/1	0/1	0/1
1788095198.881	0/1	0/1	0/1	0/1
1788095198.903	0/1	0/1	0/1	0/1
1788095198.923	0/1	0/1	0/1	0/1
1788095198.944	0/1	0/1	0/1	0/1
1788095198.963	0/1	0/1	0/1	0/1
1788095198.980	0/1	0/1	0/1	0/1
1788095199.001	0/1	0/1	0/1	0/1
1788095199.018	0/1	0/1	0/1	0/1
1788095199.034	0/1	0/1	0/1	0/1
1788095199.050	0/1	0/1	0/1	0/1
1788095199.066	0/1	0/1	0/1	0/1
1788095199.082	0/1	0/1	0/1	0/1
1788095199.101	0/1	0/1	0/1	0/1
1788095199.118	0/1	0/1	0/1	0/1
1788095199.134	0/1	0/1	0/1	0/1
1788095199.150	0/1	0/1	0/1	0/1
1788095199.166	0/1	0/1	0/1	0/1
1788095199.182	0/1	0/1	0/1	0/1
1788095199.198	0/1	0/1	0/1	0/1
1788095199.214	0/1	0/1	0/1	0/1
1788095199.230	0/1	0/1	0/1	0/1
1788095199.246	0/1	0/1	0/1	0/1
1788095199.262	0/1	0/1	0/1	0/1
1788095199.280	0/1	0/1	0/1	0/1
1788095199.305	0/1	0/1	0/1	0/1
1788095199.337	0/1	0/1	0/1	0/1
1788095199.376	0/1	0/1	0/1	0/1
1788095199.414	0/1	0/1	0/1	0/1
1788095199.454	0/1	0/1	0/1	0/1
1788095199.498	0/1	0/1	0/1	0/1
1788095199.539	0/1	0/1	0/1	0/1
1788095199.581	0/1	0/1	0/1	0/1
1788095199.622	0/1	0/1	0/1	0/1
1788095199.663	0/1	0/1	0/1	0/1
1788095199.704	0/1	0/1	0/1	0/1
1788095199.743	0/1	0/1	0/1	0/1
1788095199.782	0/1	0/1	0/1	0/1
1788095199.822	0/1	0/1	0/1	0/1
1788095199.878	0/1	0/1	0/1	0/1
1788095199.917	0/1	0/1	0/1	0/1
1788095199.956	0/1	0/1	0/1	0/1
1788095199.995	0/1	0/1	0/1	0/1
1788095200.034	0/1	0/1	0/1	0/1
1788095200.073	0/1	0/1	0/1	0/1
1788095200.113	0/1	0/1	0/1	0/1
1788095200.152	0/1	0/1	0/1	0/1
1788095200.186	0/1	0/1	0/1	0/1
1788095200.216	0/1	0/1	0/1	0/1
1788095200.243	0/1	0/1	0/1	0/1
1788095200.269	0/1	0/1	0/1	0/1
1788095200.339	0/1	0/1	0/1	0/1
1788095200.394	0/1	0/1	0/1	0/1
1788095200.440	0/1	0/1	0/1	0/1
1788095200.485	0/1	0/1	0/1	0/1
1788095200.526	0/1	0/1	0/1	0/1
1788095200.569	0/1	0/1	0/1	0/1
1788095200.612	0/1	0/1	0/1	0/1
1788095200.659	0/1	0/1	0/1	0/1
1788095200.701	0/1	0/1	0/1	0/1
1788095200.743	0/1	0/1	0/1	0/1
1788095200.785	0/1	0/1	0/1	0/1
1788095200.829	0/1	0/1	0/1	0/1
1788095200.871	0/1	0/1	0/1	0/1
1788095200.913	0/1	0/1	0/1	0/1
1788095200.958	0/1	0/1	0/1	0/1
1788095201.002	0/1	0/1	0/1	0/1
1788095201.044	0/1	0/1	0/1	0/1
1788095201.086	0/1	0/1	0/1	0/1
1788095201.129	0/1	0/1	0/1	0/1
1788095201.173	0/1	0/1	0/1	0/1
1788095201.215	0/1	0/1	0/1	0/1
1788095201.259	0/1	0/1	0/1	0/1
1788095201.301	0/1	0/1	0/1	0/1
1788095201.367	0/1	0/1	0/1	0/1
1788095201.408	0/1	0/1	0/1	0/1
1788095201.447	0/1	0/1	0/1	0/1
1788095201.487	0/1	0/1	0/1	0/1
1788095201.525	0/1	0/1	0/1	0/1
1788095201.563	0/1	0/1	0/1	0/1
1788095201.612	0/1	0/1	0/1	0/1
1788095201.661	0/1	0/1	0/1	0/1
1788095201.702	0/1	0/1	0/1	0/1
1788095201.744	0/1	0/1	0/1	0/1
1788095201.786	0/1	0/1	0/1	0/1
1788095201.828	0/1	0/1	0/1	0/1
1788095201.870	0/1	0/1	0/1	0/1
1788095201.911	0/1	0/1	0/1	0/1
1788095201.953	0/1	0/1	0/1	0/1
1788095201.996	0/1	0/1	0/1	0/1
1788095202.040	0/1	0/1	0/1	0/1
1788095202.082	0/1	0/1	0/1	0/1
1788095202.121	0/1	0/1	0/1	0/1
1788095202.159	0/1	0/1	0/1	0/1
1788095202.209	0/1	0/1	0/1	0/1
1788095202.254	0/1	0/1	0/1	0/1
1788095202.298	0/1	0/1	0/1	0/1
1788095202.359	0/1	0/1	0/1	0/1
1788095202.401	0/1	0/1	0/1	0/1
1788095202.443	0/1	0/1	0/1	0/1
1788095202.484	0/1	0/1	0/1	0/1
1788095202.526	0/1	0/1	0/1	0/1
1788095202.568	0/1	0/1	0/1	0/1
1788095202.610	0/1	0/1	0/1	0/1
1788095202.653	0/1	0/1	0/1	0/1
1788095202.699	0/1	0/1	0/1	0/1
1788095202.739	0/1	0/1	0/1	0/1
1788095202.778	0/1	0/1	0/1	0/1
1788095202.819	0/1	0/1	0/1	0/1
1788095202.858	0/1	0/1	0/1	0/1
1788095202.898	0/1	0/1	0/1	0/1
1788095202.942	0/1	0/1	0/1	0/1
1788095202.984	0/1	0/1	0/1	0/1
1788095203.024	0/1	0/1	0/1	0/1
1788095203.065	0/1	0/1	0/1	0/1
1788095203.108	0/1	0/1	0/1	0/1
1788095203.154	0/1	0/1	0/1	0/1
1788095203.199	0/1	0/1	0/1	0/1
1788095203.238	0/1	0/1	0/1	0/1
1788095203.278	0/1	0/1	0/1	0/1
1788095203.349	0/1	0/1	0/1	0/1
1788095203.394	0/1	0/1	0/1	0/1
1788095203.438	0/1	0/1	0/1	0/1
1788095203.480	0/1	0/1	0/1	0/1
1788095203.524	0/1	0/1	0/1	0/1
1788095203.565	0/1	0/1	0/1	0/1
1788095203.606	0/1	0/1	0/1	0/1
1788095203.650	0/1	0/1	0/1	0/1
1788095203.698	0/1	0/1	0/1	0/1
1788095203.750	0/1	0/1	0/1	0/1
1788095203.797	0/1	0/1	0/1	0/1
1788095203.845	0/1	0/1	0/1	0/1
1788095203.903	0/1	0/1	0/1	0/1
1788095203.946	0/1	0/1	0/1	0/1
1788095203.990	0/1	0/1	0/1	0/1
1788095204.041	0/1	0/1	0/1	0/1
1788095204.083	0/1	0/1	0/1	0/1
1788095204.131	0/1	0/1	0/1	0/1
1788095204.174	0/1	0/1	0/1	0/1
1788095204.216	0/1	0/1	0/1	0/1
1788095204.256	0/1	0/1	0/1	0/1
1788095204.302	0/1	0/1	0/1	0/1
1788095204.370	0/1	0/1	0/1	0/1
1788095204.412	0/1	0/1	0/1	0/1
1788095204.454	0/1	0/1	0/1	0/1
1788095204.497	0/1	0/1	0/1	0/1
1788095204.538	0/1	0/1	0/1	0/1
1788095204.581	0/1	0/1	0/1	0/1
1788095204.626	0/1	0/1	0/1	0/1
1788095204.669	0/1	0/1	0/1	0/1
1788095204.710	0/1	0/1	0/1	0/1
1788095204.753	0/1	0/1	0/1	0/1
1788095204.794	0/1	0/1	0/1	0/1
1788095204.837	0/1	0/1	0/1	0/1
1788095204.876	0/1	0/1	0/1	0/1
1788095204.915	0/1	0/1	0/1	0/1
1788095204.954	0/1	0/1	0/1	0/1
1788095204.992	0/1	0/1	0/1	0/1
1788095205.026	0/1	0/1	0/1	0/1
1788095205.057	0/1	0/1	0/1	0/1
1788095205.084	0/1	0/1	0/1	0/1
1788095205.117	0/1	0/1	0/1	0/1
1788095205.167	0/1	0/1	0/1	0/1
1788095205.208	0/1	0/1	0/1	0/1
1788095205.250	0/1	0/1	0/1	0/1
1788095205.292	0/1	0/1	0/1	0/1
1788095205.352	0/1	0/1	0/1	0/1
1788095205.397	0/1	0/1	0/1	0/1
1788095205.440	0/1	0/1	0/1	0/1
1788095205.481	0/1	0/1	0/1	0/1
1788095205.524	0/1	0/1	0/1	0/1
1788095205.566	0/1	0/1	0/1	0/1
1788095205.616	0/1	0/1	0/1	0/1
1788095205.659	0/1	0/1	0/1	0/1
1788095205.700	0/1	0/1	0/1	0/1
1788095205.742	0/1	0/1	0/1	0/1
1788095205.787	0/1	0/1	0/1	0/1
1788095205.829	0/1	0/1	0/1	0/1
1788095205.870	0/1	0/1	0/1	0/1
1788095205.911	0/1	0/1	0/1	0/1
1788095205.955	0/1	0/1	0/1	0/1
1788095205.996	0/1	0/1	0/1	0/1
1788095206.038	0/1	0/1	0/1	0/1
1788095206.087	0/1	0/1	0/1	0/1
1788095206.128	0/1	0/1	0/1	0/1
1788095206.170	0/1	0/1	0/1	0/1
1788095206.212	0/1	0/1	0/1	0/1
1788095206.255	0/1	0/1	0/1	0/1
1788095206.308	0/1	0/1	0/1	0/1
1788095206.373	0/1	0/1	0/1	0/1
1788095206.415	0/1	0/1	0/1	0/1
1788095206.461	0/1	0/1	0/1	0/1
1788095206.502	0/1	0/1	0/1	0/1
1788095206.542	0/1	0/1	0/1	0/1
1788095206.583	0/1	0/1	0/1	0/1
1788095206.624	0/1	0/1	0/1	0/1
1788095206.665	0/1	0/1	0/1	0/1
1788095206.705	0/1	0/1	0/1	0/1
1788095206.745	0/1	0/1	0/1	0/1
1788095206.784	0/1	0/1	0/1	0/1
1788095206.825	0/1	0/1	0/1	0/1
1788095206.865	0/1	0/1	0/1	0/1
1788095206.905	0/1	0/1	0/1	0/1
1788095206.943	0/1	0/1	0/1	0/1
1788095206.976	0/1	0/1	0/1	0/1
1788095207.006	0/1	0/1	0/1	0/1
1788095207.032	0/1	0/1	0/1	0/1
1788095207.055	0/1	0/1	0/1	0/1
1788095207.076	0/1	0/1	0/1	0/1
1788095207.103	0/1	0/1	0/1	0/1
1788095207.151	0/1	0/1	0/1	0/1
1788095207.192	0/1	0/1	0/1	0/1
1788095207.240	0/1	0/1	0/1	0/1
1788095207.285	0/1	0/1	0/1	0/1
1788095207.343	0/1	0/1	0/1	0/1
1788095207.385	0/1	0/1	0/1	0/1
1788095207.426	0/1	0/1	0/1	0/1
1788095207.469	0/1	0/1	0/1	0/1
1788095207.513	0/1	0/1	0/1	0/1
1788095207.554	0/1	0/1	0/1	0/1
1788095207.596	0/1	0/1	0/1	0/1
1788095207.641	0/1	0/1	0/1	0/1
1788095207.690	0/1	0/1	0/1	0/1
1788095207.733	0/1	0/1	0/1	0/1
1788095207.775	0/1	0/1	0/1	0/1
1788095207.818	0/1	0/1	0/1	0/1
1788095207.859	0/1	0/1	0/1	0/1
1788095207.901	0/1	0/1	0/1	0/1
1788095207.942	0/1	0/1	0/1	0/1
1788095207.985	0/1	0/1	0/1	0/1
1788095208.029	0/1	0/1	0/1	0/1
1788095208.068	0/1	0/1	0/1	0/1
1788095208.107	0/1	0/1	0/1	0/1
1788095208.147	0/1	0/1	0/1	0/1
1788095208.186	0/1	0/1	0/1	0/1
1788095208.231	0/1	0/1	0/1	0/1
1788095208.273	0/1	0/1	0/1	0/1
1788095208.334	0/1	0/1	0/1	0/1
1788095208.374	0/1	0/1	0/1	0/1
1788095208.416	0/1	0/1	0/1	0/1
1788095208.460	0/1	0/1	0/1	0/1
1788095208.503	0/1	0/1	0/1	0/1
1788095208.545	0/1	0/1	0/1	0/1
1788095208.587	0/1	0/1	0/1	0/1
1788095208.631	0/1	0/1	0/1	0/1
1788095208.681	0/1	0/1	0/1	0/1
1788095208.724	0/1	0/1	0/1	0/1
1788095208.765	0/1	0/1	0/1	0/1
1788095208.804	0/1	0/1	0/1	0/1
1788095208.844	0/1	0/1	0/1	0/1
1788095208.890	0/1	0/1	0/1	0/1
1788095208.936	0/1	0/1	0/1	0/1
1788095208.979	0/1	0/1	0/1	0/1
1788095209.017	0/1	0/1	0/1	0/1
1788095209.056	0/1	0/1	0/1	0/1
1788095209.095	0/1	0/1	0/1	0/1
1788095209.135	0/1	0/1	0/1	0/1
1788095209.176	0/1	0/1	0/1	0/1
1788095209.223	0/1	0/1	0/1	0/1
1788095209.273	0/1	0/1	0/1	0/1
1788095209.358	0/1	0/1	0/1	0/1
1788095209.402	0/1	0/1	0/1	0/1
1788095209.445	0/1	0/1	0/1	0/1
1788095209.488	0/1	0/1	0/1	0/1
1788095209.531	0/1	0/1	0/1	0/1
1788095209.572	0/1	0/1	0/1	0/1
1788095209.616	0/1	0/1	0/1	0/1
1788095209.666	0/1	0/1	0/1	0/1
1788095209.716	0/1	0/1	0/1	0/1
1788095209.760	0/1	0/1	0/1	0/1
1788095209.799	0/1	0/1	0/1	0/1
1788095209.844	0/1	0/1	0/1	0/1
1788095209.891	0/1	0/1	0/1	0/1
1788095209.933	0/1	0/1	0/1	0/1
1788095209.981	0/1	0/1	0/1	0/1
1788095210.033	0/1	0/1	0/1	0/1
1788095210.082	0/1	0/1	0/1	0/1
1788095210.129	0/1	0/1	0/1	0/1
1788095210.173	0/1	0/1	0/1	0/1
1788095210.216	0/1	0/1	0/1	0/1
1788095210.260	0/1	0/1	0/1	0/1
1788095210.303	0/1	0/1	0/1	0/1
1788095210.368	0/1	0/1	0/1	0/1
1788095210.411	0/1	0/1	0/1	0/1
1788095210.453	0/1	0/1	0/1	0/1
1788095210.502	0/1	0/1	0/1	0/1
1788095210.546	0/1	0/1	0/1	0/1
1788095210.590	0/1	0/1	0/1	0/1
1788095210.636	0/1	0/1	0/1	0/1
1788095210.677	0/1	0/1	0/1	0/1
1788095210.718	0/1	0/1	0/1	0/1
1788095210.760	0/1	0/1	0/1	0/1
1788095210.801	0/1	0/1	0/1	0/1
1788095210.847	0/1	0/1	0/1	0/1
1788095210.887	0/1	0/1	0/1	0/1
1788095210.929	0/1	0/1	0/1	0/1
1788095210.974	0/1	0/1	0/1	0/1
1788095211.016	0/1	0/1	0/1	0/1
1788095211.063	0/1	0/1	0/1	0/1
1788095211.112	0/1	0/1	0/1	0/1
1788095211.166	0/1	0/1	0/1	0/1
1788095211.211	0/1	0/1	0/1	0/1
1788095211.254	0/1	0/1	0/1	0/1
1788095211.301	0/1	0/1	0/1	0/1
1788095211.380	0/1	0/1	0/1	0/1
1788095211.431	0/1	0/1	0/1	0/1
1788095211.474	0/1	0/1	0/1	0/1
1788095211.517	0/1	0/1	0/1	0/1
1788095211.558	0/1	0/1	0/1	0/1
1788095211.615	0/1	0/1	0/1	0/1
1788095211.665	0/1	0/1	0/1	0/1
1788095211.703	0/1	0/1	0/1	0/1
1788095211.741	0/1	0/1	0/1	0/1
1788095211.779	0/1	0/1	0/1	0/1
1788095211.824	0/1	0/1	0/1	0/1
1788095211.866	0/1	0/1	0/1	0/1
1788095211.907	0/1	0/1	0/1	0/1
1788095211.949	0/1	0/1	0/1	0/1
1788095211.996	0/1	0/1	0/1	0/1
1788095212.040	0/1	0/1	0/1	0/1
1788095212.082	0/1	0/1	0/1	0/1
1788095212.128	0/1	0/1	0/1	0/1
1788095212.170	0/1	0/1	0/1	0/1
1788095212.214	0/1	0/1	0/1	0/1
1788095212.256	0/1	0/1	0/1	0/1
1788095212.303	0/1	0/1	0/1	0/1
1788095212.370	0/1	0/1	0/1	0/1
1788095212.411	0/1	0/1	0/1	0/1
1788095212.452	0/1	0/1	0/1	0/1
